sepal_length,sepal_width,petal_length,petal_width,species
6.1,3.0,4.9,1.8,virginica
5.6,2.8,4.9,2.0,virginica
7.7,3.0,6.1,2.3,virginica
6.4,3.2,4.5,1.5,versicolor
6.3,2.3,4.4,1.3,versicolor
4.3,3.0,1.1,0.1,setosa
6.2,2.9,4.3,1.3,versicolor
6.7,3.1,4.7,1.5,versicolor
5.9,3.0,5.1,1.8,virginica
5.1,3.8,1.5,0.3,setosa
5.2,3.4,1.4,0.2,setosa
5.0,3.5,1.3,0.3,setosa
5.9,3.0,4.2,1.5,versicolor
6.8,3.0,5.5,2.1,virginica
5.1,2.5,3.0,1.1,versicolor
5.7,4.4,1.5,0.4,setosa
6.6,2.9,4.6,1.3,versicolor
6.9,3.1,5.4,2.1,virginica
5.5,3.5,1.3,0.2,setosa
5.5,2.3,4.0,1.3,versicolor
5.8,2.7,5.1,1.9,virginica
5.1,3.5,1.4,0.3,setosa
4.8,3.0,1.4,0.3,setosa
4.9,3.1,1.5,0.1,setosa
4.5,2.3,1.3,0.3,setosa
5.1,3.8,1.9,0.4,setosa
5.7,3.0,4.2,1.2,versicolor
4.6,3.2,1.4,0.2,setosa
5.0,2.0,3.5,1.0,versicolor
6.8,2.8,4.8,1.4,versicolor
5.2,4.1,1.5,0.1,setosa
5.4,3.9,1.3,0.4,setosa
